Date,Close
1/2/2020 16:00,86.05
1/3/2020 16:00,88.6
1/6/2020 16:00,90.31
1/7/2020 16:00,93.81
1/8/2020 16:00,98.43
1/9/2020 16:00,96.27
1/10/2020 16:00,95.63
1/13/2020 16:00,104.97
1/14/2020 16:00,107.58
1/15/2020 16:00,103.7
1/16/2020 16:00,102.7
1/17/2020 16:00,102.1
1/21/2020 16:00,109.44
1/22/2020 16:00,113.91
1/23/2020 16:00,114.44
1/24/2020 16:00,112.96
1/27/2020 16:00,111.6
1/28/2020 16:00,113.38
1/29/2020 16:00,116.2
1/30/2020 16:00,128.16
1/31/2020 16:00,130.11
2/3/2020 16:00,156
2/4/2020 16:00,177.41
2/5/2020 16:00,146.94
2/6/2020 16:00,149.79
2/7/2020 16:00,149.61
2/10/2020 16:00,154.26
2/11/2020 16:00,154.88
2/12/2020 16:00,153.46
2/13/2020 16:00,160.8
2/14/2020 16:00,160.01
2/18/2020 16:00,171.68
2/19/2020 16:00,183.48
2/20/2020 16:00,179.88
2/21/2020 16:00,180.2
2/24/2020 16:00,166.76
2/25/2020 16:00,159.98
2/26/2020 16:00,155.76
2/27/2020 16:00,135.8
2/28/2020 16:00,133.6
3/2/2020 16:00,148.72
3/3/2020 16:00,149.1
3/4/2020 16:00,149.9
3/5/2020 16:00,144.91
3/6/2020 16:00,140.7
3/9/2020 16:00,121.6
3/10/2020 16:00,129.07
3/11/2020 16:00,126.85
3/12/2020 16:00,112.11
3/13/2020 16:00,109.32
3/16/2020 16:00,89.01
3/17/2020 16:00,86.04
3/18/2020 16:00,72.24
3/19/2020 16:00,85.53
3/20/2020 16:00,85.51
3/23/2020 16:00,86.86
3/24/2020 16:00,101
3/25/2020 16:00,107.85
3/26/2020 16:00,105.63
3/27/2020 16:00,102.87
3/30/2020 16:00,100.43
3/31/2020 16:00,104.8
4/1/2020 16:00,96.31
4/2/2020 16:00,90.89
4/3/2020 16:00,96
4/6/2020 16:00,103.25
4/7/2020 16:00,109.09
4/8/2020 16:00,109.77
4/9/2020 16:00,114.6
4/13/2020 16:00,130.19
4/14/2020 16:00,141.98
4/15/2020 16:00,145.97
4/16/2020 16:00,149.04
4/17/2020 16:00,150.78
4/20/2020 16:00,149.27
4/21/2020 16:00,137.34
4/22/2020 16:00,146.42
4/23/2020 16:00,141.13
4/24/2020 16:00,145.03
4/27/2020 16:00,159.75
4/28/2020 16:00,153.82
4/29/2020 16:00,160.1
4/30/2020 16:00,156.38
5/1/2020 16:00,140.26
5/4/2020 16:00,152.24
5/5/2020 16:00,153.64
5/6/2020 16:00,156.52
5/7/2020 16:00,156.01
5/8/2020 16:00,163.88
5/11/2020 16:00,162.26
5/12/2020 16:00,161.88
5/13/2020 16:00,158.19
5/14/2020 16:00,160.67
5/15/2020 16:00,159.83
5/18/2020 16:00,162.73
5/19/2020 16:00,161.6
5/20/2020 16:00,163.11
5/21/2020 16:00,165.52
5/22/2020 16:00,163.38
5/26/2020 16:00,163.77
5/27/2020 16:00,164.05
5/28/2020 16:00,161.16
5/29/2020 16:00,167
6/1/2020 16:00,179.62
6/2/2020 16:00,176.31
6/3/2020 16:00,176.59
6/4/2020 16:00,172.88
6/5/2020 16:00,177.13
6/8/2020 16:00,189.98
6/9/2020 16:00,188.13
6/10/2020 16:00,205.01
6/11/2020 16:00,194.57
6/12/2020 16:00,187.06
6/15/2020 16:00,198.18
6/16/2020 16:00,196.43
6/17/2020 16:00,198.36
6/18/2020 16:00,200.79
6/19/2020 16:00,200.18
6/22/2020 16:00,198.86
6/23/2020 16:00,200.36
6/24/2020 16:00,192.17
6/25/2020 16:00,197.2
6/26/2020 16:00,191.95
6/29/2020 16:00,201.87
6/30/2020 16:00,215.96
7/1/2020 16:00,223.93
7/2/2020 16:00,241.73
7/6/2020 16:00,274.32
7/7/2020 16:00,277.97
7/8/2020 16:00,273.18
7/9/2020 16:00,278.86
7/10/2020 16:00,308.93
7/13/2020 16:00,299.41
7/14/2020 16:00,303.36
7/15/2020 16:00,309.2
7/16/2020 16:00,300.13
7/17/2020 16:00,300.17
